match_id,checkpoint,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,toss_win,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,season,toss_decision,target_batfirst,date,winner,bat_first_team
524942,20,125,10,0,6.25,11.363636363636363,11.363636363636363,1.0,0,25,5,5.0,-5.0,2012,bat,0,2012-01-19,Melbourne Stars,Adelaide Strikers
524943,6,53,0,14,8.833333333333334,53.0,3.533333333333333,0.3,1,46,0,9.2,9.2,2012,bat,1,2012-01-21,Perth Scorchers,Perth Scorchers
524943,10,78,1,10,7.8,39.0,3.5454545454545454,0.5,1,34,1,6.8,4.8,2012,bat,1,2012-01-21,Perth Scorchers,Perth Scorchers
524943,15,125,2,5,8.333333333333334,41.666666666666664,6.944444444444444,0.75,1,47,1,9.4,7.4,2012,bat,1,2012-01-21,Perth Scorchers,Perth Scorchers
524943,20,174,3,0,8.7,43.5,43.5,1.0,1,49,1,9.8,7.800000000000001,2012,bat,1,2012-01-21,Perth Scorchers,Perth Scorchers
524944,6,36,1,14,6.0,18.0,1.2,0.3,0,36,0,7.2,7.2,2012,bat,1,2012-01-22,Sydney Sixers,Sydney Sixers
524944,10,70,2,10,7.0,23.333333333333332,2.121212121212121,0.5,0,45,1,9.0,7.0,2012,bat,1,2012-01-22,Sydney Sixers,Sydney Sixers
524944,15,121,3,5,8.066666666666666,30.25,5.041666666666667,0.75,0,51,1,10.2,8.2,2012,bat,1,2012-01-22,Sydney Sixers,Sydney Sixers
524944,20,153,6,0,7.65,21.857142857142858,21.857142857142858,1.0,0,32,3,6.4,0.4000000000000003,2012,bat,1,2012-01-22,Sydney Sixers,Sydney Sixers
524945,6,33,2,14,5.5,11.0,0.7333333333333333,0.3,1,29,0,5.8,5.8,2012,bat,0,2012-01-28,Sydney Sixers,Perth Scorchers
524945,10,63,3,10,6.3,15.75,1.431818181818182,0.5,1,33,1,6.6,4.6,2012,bat,0,2012-01-28,Sydney Sixers,Perth Scorchers
524945,15,99,3,5,6.6,24.75,4.125,0.75,1,36,0,7.2,7.2,2012,bat,0,2012-01-28,Sydney Sixers,Perth Scorchers
524945,20,156,5,0,7.8,26.0,26.0,1.0,1,57,2,11.4,7.4,2012,bat,0,2012-01-28,Sydney Sixers,Perth Scorchers
571232,6,60,1,14,10.0,30.0,2.0,0.3,0,52,1,10.4,8.4,2012,bat,0,2012-12-07,Melbourne Renegades,Melbourne Stars
571232,10,78,2,10,7.8,26.0,2.363636363636364,0.5,0,35,1,7.0,5.0,2012,bat,0,2012-12-07,Melbourne Renegades,Melbourne Stars
571232,15,115,3,5,7.666666666666667,28.75,4.791666666666667,0.75,0,37,1,7.4,5.4,2012,bat,0,2012-12-07,Melbourne Renegades,Melbourne Stars
571232,20,167,5,0,8.35,27.833333333333332,27.833333333333332,1.0,0,52,2,10.4,6.4,2012,bat,0,2012-12-07,Melbourne Renegades,Melbourne Stars
571233,6,38,1,14,6.333333333333333,19.0,1.2666666666666666,0.3,1,33,1,6.6,4.6,2012,field,0,2012-12-08,Sydney Sixers,Sydney Thunder
571233,10,67,2,10,6.7,22.333333333333332,2.0303030303030303,0.5,1,41,1,8.2,6.199999999999999,2012,field,0,2012-12-08,Sydney Sixers,Sydney Thunder
571233,15,88,4,5,5.866666666666666,17.6,2.9333333333333336,0.75,1,21,2,4.2,0.2000000000000001,2012,field,0,2012-12-08,Sydney Sixers,Sydney Thunder
571233,20,143,5,0,7.15,23.833333333333332,23.833333333333332,1.0,1,55,1,11.0,9.0,2012,field,0,2012-12-08,Sydney Sixers,Sydney Thunder
571234,6,39,2,14,6.5,13.0,0.8666666666666667,0.3,1,33,2,6.6,2.5999999999999996,2012,bat,0,2012-12-09,Hobart Hurricanes,Brisbane Heat
571234,10,76,2,10,7.6,25.333333333333332,2.3030303030303028,0.5,1,42,1,8.4,6.4,2012,bat,0,2012-12-09,Hobart Hurricanes,Brisbane Heat
571234,15,120,3,5,8.0,30.0,5.0,0.75,1,44,1,8.8,6.800000000000001,2012,bat,0,2012-12-09,Hobart Hurricanes,Brisbane Heat
571234,20,172,6,0,8.6,24.571428571428573,24.571428571428573,1.0,1,52,3,10.4,4.4,2012,bat,0,2012-12-09,Hobart Hurricanes,Brisbane Heat
571235,6,40,1,14,6.666666666666667,20.0,1.3333333333333333,0.3,1,37,1,7.4,5.4,2012,bat,0,2012-12-09,Adelaide Strikers,Perth Scorchers
571235,10,68,2,10,6.8,22.666666666666668,2.060606060606061,0.5,1,31,1,6.2,4.2,2012,bat,0,2012-12-09,Adelaide Strikers,Perth Scorchers
571235,15,120,2,5,8.0,40.0,6.666666666666667,0.75,1,52,0,10.4,10.4,2012,bat,0,2012-12-09,Adelaide Strikers,Perth Scorchers
571235,20,162,6,0,8.1,23.142857142857142,23.142857142857142,1.0,1,42,4,8.4,0.4000000000000003,2012,bat,0,2012-12-09,Adelaide Strikers,Perth Scorchers
571236,6,39,4,14,6.5,7.8,0.52,0.3,0,35,3,7.0,1.0,2012,field,0,2012-12-12,Melbourne Stars,Perth Scorchers
571236,10,55,7,10,5.5,6.875,0.625,0.5,0,34,3,6.8,0.7999999999999998,2012,field,0,2012-12-12,Melbourne Stars,Perth Scorchers
571236,15,69,9,5,4.6,6.9,1.15,0.75,0,14,2,2.8,-1.2000000000000002,2012,field,0,2012-12-12,Melbourne Stars,Perth Scorchers
571236,20,69,10,0,3.45,6.2727272727272725,6.2727272727272725,1.0,0,-69,-9,-13.8,4.199999999999999,2012,field,0,2012-12-12,Melbourne Stars,Perth Scorchers
571237,6,40,3,14,6.666666666666667,10.0,0.6666666666666666,0.3,0,36,3,7.2,1.2000000000000002,2012,field,0,2012-12-13,Brisbane Heat,Adelaide Strikers
571237,10,68,3,10,6.8,17.0,1.5454545454545454,0.5,0,33,0,6.6,6.6,2012,field,0,2012-12-13,Brisbane Heat,Adelaide Strikers
571237,15,119,5,5,7.933333333333334,19.833333333333332,3.3055555555555554,0.75,0,51,2,10.2,6.199999999999999,2012,field,0,2012-12-13,Brisbane Heat,Adelaide Strikers
571237,20,185,8,0,9.25,20.555555555555557,20.555555555555557,1.0,0,66,3,13.2,7.199999999999999,2012,field,0,2012-12-13,Brisbane Heat,Adelaide Strikers
571238,6,33,1,14,5.5,16.5,1.1,0.3,0,32,1,6.4,4.4,2012,field,0,2012-12-14,Melbourne Renegades,Sydney Thunder
571238,10,47,2,10,4.7,15.666666666666666,1.424242424242424,0.5,0,20,1,4.0,2.0,2012,field,0,2012-12-14,Melbourne Renegades,Sydney Thunder
571238,15,69,7,5,4.6,8.625,1.4375,0.75,0,22,5,4.4,-5.6,2012,field,0,2012-12-14,Melbourne Renegades,Sydney Thunder
571238,20,116,7,0,5.8,14.5,14.5,1.0,0,47,0,9.4,9.4,2012,field,0,2012-12-14,Melbourne Renegades,Sydney Thunder
571239,6,35,3,14,5.833333333333333,8.75,0.5833333333333334,0.3,1,26,3,5.2,-0.7999999999999998,2012,field,0,2012-12-15,Melbourne Stars,Hobart Hurricanes
571239,10,60,3,10,6.0,15.0,1.3636363636363635,0.5,1,32,0,6.4,6.4,2012,field,0,2012-12-15,Melbourne Stars,Hobart Hurricanes
571239,15,95,4,5,6.333333333333333,19.0,3.1666666666666665,0.75,1,35,1,7.0,5.0,2012,field,0,2012-12-15,Melbourne Stars,Hobart Hurricanes
571239,20,134,8,0,6.7,14.88888888888889,14.88888888888889,1.0,1,39,4,7.8,-0.2000000000000001,2012,field,0,2012-12-15,Melbourne Stars,Hobart Hurricanes
571240,6,19,5,14,3.1666666666666665,3.1666666666666665,0.2111111111111111,0.3,0,15,5,3.0,-7.0,2012,field,0,2012-12-16,Perth Scorchers,Sydney Sixers
571240,10,30,6,10,3.0,4.285714285714286,0.3896103896103896,0.5,0,15,2,3.0,-1.0,2012,field,0,2012-12-16,Perth Scorchers,Sydney Sixers
571240,15,68,7,5,4.533333333333333,8.5,1.4166666666666667,0.75,0,38,1,7.6,5.6,2012,field,0,2012-12-16,Perth Scorchers,Sydney Sixers
571240,20,113,9,0,5.65,11.3,11.3,1.0,0,45,2,9.0,5.0,2012,field,0,2012-12-16,Perth Scorchers,Sydney Sixers
571241,6,29,3,14,4.833333333333333,7.25,0.4833333333333333,0.3,0,24,1,4.8,2.8,2012,field,0,2012-12-18,Perth Scorchers,Brisbane Heat
571241,10,81,3,10,8.1,20.25,1.8409090909090908,0.5,0,53,0,10.6,10.6,2012,field,0,2012-12-18,Perth Scorchers,Brisbane Heat
571241,15,109,4,5,7.266666666666667,21.8,3.6333333333333337,0.75,0,-81,-3,-16.2,-10.2,2012,field,0,2012-12-18,Perth Scorchers,Brisbane Heat
